Datetime,Pressure,Velocity,Motion,Dive
391,1.97,-0.05,BOTT,8
392,2.02,0.05,BOTT,8
393,1.92,-0.1,BOTT,8
394,1.97,0.05,BOTT,8
395,1.97,0,BOTT,8
396,1.92,-0.05,BOTT,8
397,1.92,0,BOTT,8
398,2.02,0.1,BOTT,8
399,2.02,0,BOTT,8
400,1.95,-0.07,BOTT,8
401,1.95,0,BOTT,8
402,1.97,0.02,BOTT,8
403,1.92,-0.05,BOTT,8
404,1.92,0,BOTT,8
405,1.45,-0.47,ASC,8
409,-0.18,-0.4075,SURF,9
419,0.42,0.06,DESC,9
420,1.37,0.95,DESC,9
421,1.87,0.5,BOTT,9
422,1.92,0.05,BOTT,9
423,1.97,0.05,BOTT,9
424,1.97,0,BOTT,9
425,2.02,0.05,BOTT,9
426,1.92,-0.1,BOTT,9
427,1.95,0.03,BOTT,9
428,1.92,-0.03,BOTT,9
429,1.95,0.03,BOTT,9
430,1.92,-0.03,BOTT,9
431,1.82,-0.1,BOTT,9
432,1.95,0.13,BOTT,9
433,1.92,-0.03,BOTT,9
434,1.97,0.05,BOTT,9
435,1.95,-0.02,BOTT,9
436,2.02,0.07,BOTT,9
437,1.92,-0.1,BOTT,9
438,2.05,0.13,BOTT,9
439,2.02,-0.03,BOTT,9
440,2.02,0,BOTT,9
441,2.02,0,BOTT,9
442,1.92,-0.1,BOTT,9
443,1.95,0.03,BOTT,9
444,2.05,0.1,BOTT,9
445,2.02,-0.03,BOTT,9
446,1.95,-0.07,BOTT,9
447,1.85,-0.1,BOTT,9
448,1.8,-0.05,BOTT,9
449,1.82,0.02,BOTT,9
450,1.85,0.03,BOTT,9
451,1.92,0.07,BOTT,9
452,1.75,-0.17,BOTT,9
453,1.87,0.12,BOTT,9
454,1.85,-0.02,BOTT,9
455,1.85,0,BOTT,9
456,1.72,-0.13,BOTT,9
459,-0.15,-0.623333333,SURF,10
469,-0.18,-0.003,SURF,10
474,1.1,0.256,DESC,10
475,1.92,0.82,BOTT,10
476,1.95,0.03,BOTT,10
477,1.95,0,BOTT,10
478,1.97,0.02,BOTT,10
479,1.87,-0.1,BOTT,10
480,1.95,0.08,BOTT,10
481,1.92,-0.03,BOTT,10
482,1.92,0,BOTT,10
483,1.92,0,BOTT,10
484,1.82,-0.1,BOTT,10
485,1.85,0.03,BOTT,10
486,1.97,0.12,BOTT,10
487,1.92,-0.05,BOTT,10
488,1.95,0.03,BOTT,10
489,1.95,0,BOTT,10
490,1.95,0,BOTT,10
491,1.97,0.02,BOTT,10
492,1.95,-0.02,BOTT,10
493,1.85,-0.1,BOTT,10
494,1.97,0.12,BOTT,10
495,1.92,-0.05,BOTT,10
496,1.95,0.03,BOTT,10
497,1.92,-0.03,BOTT,10
498,1.97,0.05,BOTT,10
499,1.77,-0.2,BOTT,10
500,1.92,0.15,BOTT,10
501,1.92,0,BOTT,10
502,1.85,-0.07,BOTT,10
503,1.82,-0.03,BOTT,10
504,1.77,-0.05,BOTT,10
505,1.82,0.05,BOTT,10
506,1.85,0.03,BOTT,10
507,1.92,0.07,BOTT,10
508,1.92,0,BOTT,10
509,1.87,-0.05,BOTT,10
510,1,-0.87,ASC,10
519,-0.1,-0.122222222,SURF,11
528,0.72,0.091111111,DESC,11
529,1.67,0.95,DESC,11
530,1.95,0.28,BOTT,11
531,1.87,-0.08,BOTT,11
532,1.85,-0.02,BOTT,11
533,1.92,0.07,BOTT,11
534,1.82,-0.1,BOTT,11
535,1.87,0.05,BOTT,11
536,1.95,0.08,BOTT,11
537,2.07,0.12,BOTT,11
538,2.02,-0.05,BOTT,11
539,2.02,0,BOTT,11
540,2.07,0.05,BOTT,11
541,2.02,-0.05,BOTT,11
542,1.97,-0.05,BOTT,11
543,1.87,-0.1,BOTT,11
544,1.85,-0.02,BOTT,11
545,2.02,0.17,BOTT,11
546,1.92,-0.1,BOTT,11
547,1.97,0.05,BOTT,11
548,2.05,0.08,BOTT,11
549,1.95,-0.1,BOTT,11
550,2.02,0.07,BOTT,11
551,1.92,-0.1,BOTT,11
552,1.85,-0.07,BOTT,11
553,2.02,0.17,BOTT,11
554,1.97,-0.05,BOTT,11
555,2.02,0.05,BOTT,11
556,1.95,-0.07,BOTT,11
557,2.02,0.07,BOTT,11
558,2.02,0,BOTT,11
559,2.02,0,BOTT,11
560,2.02,0,BOTT,11
561,1.92,-0.1,BOTT,11
562,0.92,-1,ASC,11
569,-0.15,-0.152857143,SURF,12
579,-0.18,-0.003,SURF,12
586,1,0.168571429,DESC,12
587,1.72,0.72,BOTT,12
588,1.85,0.13,BOTT,12
589,1.87,0.02,BOTT,12
590,1.92,0.05,BOTT,12
591,1.95,0.03,BOTT,12
592,1.92,-0.03,BOTT,12
593,1.97,0.05,BOTT,12
594,1.95,-0.02,BOTT,12
595,1.95,0,BOTT,12
596,1.87,-0.08,BOTT,12
597,1.92,0.05,BOTT,12
598,1.95,0.03,BOTT,12
599,1.92,-0.03,BOTT,12
600,1.85,-0.07,BOTT,12
601,1.92,0.07,BOTT,12
602,1.97,0.05,BOTT,12
603,1.92,-0.05,BOTT,12
604,1.92,0,BOTT,12
605,1.92,0,BOTT,12
606,1.87,-0.05,BOTT,12
607,1.87,0,BOTT,12
608,1.92,0.05,BOTT,12
609,1.95,0.03,BOTT,12
610,1.95,0,BOTT,12
611,1.97,0.02,BOTT,12
612,1.95,-0.02,BOTT,12
613,1.95,0,BOTT,12
614,1.97,0.02,BOTT,12
615,1.82,-0.15,BOTT,12
616,0.67,-1.15,ASC,12
619,-0.15,-0.273333333,SURF,13
629,-0.15,0,SURF,13
633,0.85,0.25,DESC,13
634,1.75,0.9,BOTT,13
635,1.97,0.22,BOTT,13
636,1.95,-0.02,BOTT,13
637,1.87,-0.08,BOTT,13
638,1.92,0.05,BOTT,13
639,1.92,0,BOTT,13
640,2.02,0.1,BOTT,13
641,1.97,-0.05,BOTT,13
642,1.97,0,BOTT,13
643,2.02,0.05,BOTT,13
644,1.92,-0.1,BOTT,13
